iter	Passed	Remaining
0	12	8582
1	23	8274
2	34	7904
3	46	8112
4	56	7904
5	67	7752
6	77	7689
7	88	7671
8	98	7588
9	109	7557
10	120	7553
11	131	7550
12	144	7646
13	155	7634
14	167	7639
15	179	7669
16	192	7746
17	204	7737
18	214	7680
19	225	7675
20	244	7916
21	257	7931
22	270	7958
23	282	7950
24	297	8020
25	312	8108
26	325	8105
27	337	8095
28	349	8094
29	361	8062
30	372	8049
31	383	8008
32	394	7965
33	404	7931
34	417	7940
35	428	7897
36	440	7890
37	453	7901
38	465	7892
39	485	8003
40	495	7970
41	507	7947
42	519	7944
43	532	7936
44	543	7905
45	553	7872
46	565	7852
47	577	7842
48	590	7843
49	602	7835
50	613	7810
51	625	7793
52	638	7790
53	650	7785
54	664	7787
55	677	7787
56	690	7791
57	702	7777
58	714	7762
59	732	7808
60	742	7776
61	753	7750
62	764	7729
63	775	7707
64	787	7697
65	799	7679
66	810	7658
67	821	7633
68	832	7612
69	842	7586
70	855	7576
71	866	7554
72	879	7551
73	891	7544
74	902	7524
75	917	7530
76	929	7521
77	942	7518
78	953	7493
79	964	7472
80	982	7508
81	993	7488
82	1005	7472
83	1017	7461
84	1028	7443
85	1039	7421
86	1050	7404
87	1061	7383
88	1072	7365
89	1085	7359
90	1098	7354
91	1110	7340
92	1121	7322
93	1133	7310
94	1145	7294
95	1156	7274
96	1167	7260
97	1178	7238
98	1189	7221
99	1201	7209
100	1212	7191
101	1229	7206
102	1239	7185
103	1250	7168
104	1261	7151
105	1274	7142
106	1286	7128
107	1299	7120
108	1311	7108
109	1323	7100
110	1335	7085
111	1348	7079
112	1358	7059
113	1370	7042
114	1382	7034
115	1393	7015
116	1404	7000
117	1416	6986
118	1428	6973
119	1439	6955
120	1450	6941
121	1468	6955
122	1480	6945
123	1491	6929
124	1503	6917
125	1515	6906
126	1527	6892
127	1540	6882
128	1555	6887
129	1568	6879
130	1581	6868
131	1594	6862
132	1605	6844
133	1616	6826
134	1629	6817
135	1640	6801
136	1651	6787
137	1664	6779
138	1676	6764
139	1687	6751
140	1699	6736
141	1722	6768
142	1736	6762
143	1749	6753
144	1761	6744
145	1773	6729
146	1784	6713
147	1796	6699
148	1807	6683
149	1820	6675
150	1831	6660
151	1842	6642
152	1852	6624
153	1865	6613
154	1876	6597
155	1887	6581
156	1900	6572
157	1911	6558
158	1926	6553
159	1939	6546
160	1952	6535
161	1971	6546
162	1981	6529
163	1994	6519
164	2007	6510
165	2018	6493
166	2030	6481
167	2042	6468
168	2053	6453
169	2065	6439
170	2076	6422
171	2087	6408
172	2098	6392
173	2110	6379
174	2121	6364
175	2132	6350
176	2145	6338
177	2158	6330
178	2171	6320
179	2183	6308
180	2196	6297
181	2214	6302
182	2227	6292
183	2238	6276
184	2251	6267
185	2265	6261
186	2276	6246
187	2287	6229
188	2298	6213
189	2309	6200
190	2320	6184
191	2332	6170
192	2344	6159
193	2358	6151
194	2370	6137
195	2381	6122
196	2392	6109
197	2404	6096
198	2415	6081
199	2427	6069
200	2440	6059
201	2459	6063
202	2470	6049
203	2483	6039
204	2495	6025
205	2507	6013
206	2518	5998
207	2530	5985
208	2541	5969
209	2552	5955
210	2565	5945
211	2578	5935
212	2591	5925
213	2604	5914
214	2616	5902
215	2628	5890
216	2640	5877
217	2652	5865
218	2663	5851
219	2675	5836
220	2687	5825
221	2705	5825
222	2717	5813
223	2729	5799
224	2741	5788
225	2753	5774
226	2765	5761
227	2778	5752
228	2790	5739
229	2801	5724
230	2813	5712
231	2825	5698
232	2836	5684
233	2847	5670
234	2858	5655
235	2871	5645
236	2882	5630
237	2893	5616
238	2904	5602
239	2916	5589
240	2926	5574
241	2938	5561
242	2956	5560
243	2970	5552
244	2985	5544
245	2998	5533
246	3011	5523
247	3023	5510
248	3035	5498
249	3048	5487
250	3060	5473
251	3070	5458
252	3081	5445
253	3092	5430
254	3105	5419
255	3116	5405
256	3127	5391
257	3140	5380
258	3152	5367
259	3163	5352
260	3175	5341
261	3194	5339
262	3205	5326
263	3217	5314
264	3230	5302
265	3242	5291
266	3256	5280
267	3267	5267
268	3278	5253
269	3290	5240
270	3303	5230
271	3315	5216
272	3326	5203
273	3337	5189
274	3349	5176
275	3361	5164
